;Bulk sample number;E_bulk_sim (kJ/mol);E_vac_sim (kJ/mol);Hvap_sim (kJ/mol);Vacuum sample number;Vol_sim (mL/mol);[#6X4:1]_eps_val;[#6X4:1]_rmin_half_val;[1:1]-[#6X4]_eps_val;[1:1]-[#6X4]_rmin_half_val;dE_bulk_sim (kJ/mol);dE_vac_sim (kJ/mol);dHvap_sim (kJ/mol);dVol_sim (mL/mol)
62;1405;12511.81383928134;84.78950342429927;37.20228899733183;2740;108.15910734737791;0.1094;1.9080000000000001;0.0157;1.479565;5.326645423180019;0.23497428817098082;0.2359383108608335;0.026149893810992444
63;1667;12537.911805310263;85.00114602096373;37.30948345903204;3057;108.71624446171558;0.11213499999999997;1.89846;0.015307499999999996;1.4869999999999999;5.285750554825878;0.2113452426591309;0.21240018395427107;0.02488242609522221
64;1823;13077.435122119497;85.3108909071661;35.460980220996866;3002;110.24948209150993;0.10666500000000001;1.91754;0.0157;1.494435;5.124206668006906;0.21550496291802057;0.2164775021833673;0.02349108460978383
65;1424;12375.687982031981;84.77117944139384;37.72844305856741;2647;108.41044255946808;0.11213499999999997;1.89846;0.016092499999999996;1.4869999999999999;5.575615150442382;0.22556856384519597;0.22666842910033058;0.025692767475349737
66;1760;12786.98055306651;85.49330391380053;36.805268130444496;2858;109.68882267319258;0.10666500000000001;1.9080000000000001;0.016092499999999996;1.4869999999999999;5.424557527573993;0.22792125871331137;0.22895177083704962;0.024335725047838198
67;1800;12829.487313172569;85.11214667802517;36.254023688630774;2857;110.2845218229461;0.1094;1.89846;0.0157;1.494435;5.098735900699293;0.21635912874768082;0.21731826044473695;0.02365844618986699
68;1117;12492.512090943697;85.12827896573403;37.61832090355126;3033;107.67028126707174;0.11213499999999997;1.91754;0.0157;1.4869999999999999;6.6063698536810325;0.20805737687286063;0.20972882024321973;0.02638053175904915
69;1428;12807.992915095501;85.11914714932608;36.347110940866486;2728;109.20344631272982;0.1094;1.91754;0.016092499999999996;1.494435;5.822622378760087;0.23381008156850414;0.2349672342077382;0.024877573445301105
70;1577;12653.009108363483;85.23812261928106;37.08604974660993;2973;108.92514076425404;0.11213499999999997;1.9080000000000001;0.0157;1.494435;5.374643098832168;0.2239089275344058;0.2249386504153072;0.024282260664085686
71;1350;13112.216248407243;84.8922142151467;34.90311879234625;2766;110.84583338092143;0.10666500000000001;1.9080000000000001;0.015307499999999996;1.494435;6.147308746249363;0.22110660417333816;0.22246968533865877;0.02881371329158344
72;1495;12619.390080022587;84.6458809479994;36.628234430383024;2775;109.41779728741326;0.10666500000000001;1.89846;0.016092499999999996;1.479565;5.717472457914714;0.23893666760239735;0.24002867119019805;0.0270814659291759
73;1496;12783.658665199191;85.14854544604427;36.47385246799658;3381;109.14175495968152;0.10666500000000001;1.9080000000000001;0.015307499999999996;1.479565;5.690435001077571;0.20456510987464424;0.20582755158970348;0.026866123571896914
74;1665;12996.898279836494;84.82321415544732;35.295469636441915;2598;110.06336296456774;0.10666500000000001;1.91754;0.016092499999999996;1.494435;5.270592424422079;0.23894376269761491;0.2398720243169175;0.023704051075184085
75;1717;12581.192719562618;84.7176961725722;36.852853190665186;2807;109.27825402520871;0.1094;1.89846;0.016092499999999996;1.4869999999999999;5.047957172506898;0.2223504746148665;0.22326541047205653;0.024155320163728535
76;1719;12972.718336298503;85.05591628707711;35.62494155213421;3023;109.56821533550149;0.10666500000000001;1.91754;0.015307499999999996;1.4869999999999999;5.567053208331464;0.22228486687729165;0.22339748286834854;0.02518143789621602
77;1755;12298.800596846691;84.70901947067553;37.973892142765685;3309;107.82119329782054;0.11213499999999997;1.89846;0.0157;1.479565;5.1253488018723985;0.2083431910246511;0.2093494505781219;0.02337467499467709
78;1553;12859.456432472514;85.19691006149775;36.21901275604865;2715;109.27302533705799;0.1094;1.91754;0.0157;1.494435;5.618535964523341;0.22499637378687587;0.22611602191287997;0.02486741156938211
79;1585;12780.327042671244;85.06362896582633;36.40215390171363;3383;110.21676661103517;0.10666500000000001;1.89846;0.016092499999999996;1.4869999999999999;5.374429913248592;0.20583304932175067;0.20695264228933138;0.026506126801535315
80;1380;12577.2073619943;84.71714494998355;36.86839553054374;3215;107.77199467931617;0.11213499999999997;1.91754;0.015307499999999996;1.4869999999999999;6.156327115257971;0.21107555091979138;0.21250716227860517;0.02583951107263965
