;Hvap_sim (kJ/mol);Vol_sim (mL/mol);dHvap_sim (kJ/mol);dVol_sim (mL/mol);eps_val;rmin_half_val
86;35.11024457310216;108.94477329915198;0.22464458231456685;0.04874096836811778;0.10400000000000001;1.923
87;35.824409484923365;107.56892859610154;0.22221289036855174;0.04577596384717848;0.1076;1.926
88;35.05640967600128;109.93582728046327;0.23233328305022716;0.049104337442388554;0.1022;1.911
89;38.058848481089754;107.54986417879378;0.2024041186438056;0.04018625456130411;0.11415;1.887
90;36.805767156824494;107.07811081431882;0.25241296673763347;0.041670735329346335;0.1094;1.923
91;35.97709559551216;109.81505720348248;0.2158830020332336;0.039030870352903944;0.104;1.9045
92;36.16318634772683;108.49288615227576;0.22279213453588473;0.04269986262822058;0.1058;1.917
93;35.80362852499864;108.54453023688845;0.22396162690291155;0.036858238520248554;0.1058;1.9140000000000001
94;34.882497641388916;111.16569429049252;0.21492312890728138;0.05391845277954754;0.1022;1.894
95;37.529952688345574;108.75048284770972;0.20670470578049446;0.047314559120427875;0.1094;1.8905
96;35.64897909104902;107.97127271035701;0.21937352508343563;0.046600550549141445;0.1058;1.926
97;35.3684708445612;109.60770117963254;0.2285854799189669;0.03936290515354049;0.104;1.908
98;38.60465294499748;108.0164688851068;0.23409838971664995;0.04037606320234982;0.1126;1.887
99;37.74686941160685;106.58278192462775;0.20904348460007324;0.04161572755900921;0.1126;1.914
100;35.130442755518494;111.63088983084673;0.22313881281799;0.056494518732663285;0.1022;1.887
101;35.98105296096286;108.12654165672966;0.21405505069027964;0.050154772832120935;0.1058;1.923
102;37.55518105947935;106.57299441878342;0.22711094026840148;0.03856454865253737;0.111;1.926
103;37.46392957557746;106.02436397561301;0.225939788071042;0.04935546293659542;0.1126;1.926
104;36.1602432815866;109.81104947488298;0.2210527635213587;0.04523729963782542;0.1058;1.894
105;35.35602084185884;111.38503595092344;0.22183868281875987;0.039501789734427466;0.1022;1.8905
106;36.26132836325902;110.80125721246753;0.23044794002783392;0.060463407022704606;0.104;1.887
107;38.575307222924295;105.49471908402502;0.22695364991764874;0.047747656257979776;0.1157;1.917
108;37.853858201171086;106.88735026170512;0.2375561783123779;0.06293819672674504;0.111;1.917
109;37.697030705383646;105.99962901213469;0.2214703346037368;0.05319871270166611;0.11415;1.92
110;37.57296735724694;108.0336266308344;0.21570894212012304;0.042164122222350074;0.111;1.894
111;37.12165550420974;107.08188863297143;0.21144102827912947;0.0421995620581161;0.111;1.9140000000000001
112;36.52988840984127;108.83952515411995;0.23259072225206331;0.0474612141519959;0.1058;1.911
113;36.22237233607722;109.13205082508685;0.2487944579953433;0.04566287438810478;0.1058;1.9045
114;36.81291021162622;108.97701036183986;0.2123434177695512;0.052560188645021745;0.1076;1.8975
115;38.75122575271492;105.21011319085915;0.22116991579356549;0.05299331032648107;0.1157;1.923
116;38.110594522238266;107.52212441495215;0.2250624723525066;0.06033147658648921;0.111;1.9045
117;37.39970163355136;107.59978162757751;0.2382061490199657;0.04797159621704126;0.1094;1.914
118;38.71222543624628;106.01719608908229;0.2260769631298185;0.04155519659484943;0.1157;1.908
119;36.86321429168427;108.40609490617197;0.22289386628967525;0.05411104057923761;0.1076;1.908
120;38.851159776652;106.58896012855169;0.208465074108565;0.046371304406006716;0.1157;1.894
121;37.91529643833933;108.4065054334818;0.2131342038754382;0.059278870785246365;0.111;1.8905
